,Usuario,Fecha,Descripción,Calificacion
10,Diego Romero Navarro Barajas,"una semana atrás en
Google","Fui al buffet el día domingo, muy rico, muy buena atención, la espera para entrar si fue tardado pero valió la pena, ni se diga la vista, si estaba lleno hablando de que todas las sillas estaban ocupadas pero con sus prevenciones y su…",5/5
11,David Lòpez,"una semana atrás en
Google","Excelente servicio, muy buena atención y postres deliciosos. 100% recomendable",5/5
12,Daniel Rojas,"una semana atrás en
Google","Buffet disponible por las mañanas, cuenta con una excelente vista al zócalo en terraza. Área Accesible por medio de buffet",5/5
13,Socorro Escalera Mayén,"hace 3 meses en
Google","Es un lugar único, maravilloso, histórico, con una estructura maravillosa, y una vista increíble, el servicio de primera. Excelente",5/5
14,Omar Francisco,"hace un mes en
Google","Quieres pasar una excelente mañana, tarde o noche, sólo visota la terraza del Hotel con una excelente vista el Zócalo de la ciudad de México.",5/5
15,playeras tazas gorras caelan,"2 semanas atrás en
Google","Excelente atención y la comida exquisita cualquier platillo para chuparse los dedos.
Personal muy amables sin duda te recomiendo visitarlo",5/5
16,Eva Robles Arias,"hace un mes en
Google",Buen servicio la comida muy rica y tienen todas las medidas de seguridad,5/5
17,Valeria Aguilar,"hace 2 meses en
Google","El hotel es una joya de la arquitectura art nouveau, simplemente hermoso.Visité la terraza porque el restaurante adentro está inhabilitado por la contingencia. Me pareció muy agradable con excelente vista del primer cuadro del Centro…",5/5
18,Maciel Samantha Benítez D,"hace 3 meses en
Google","El restaurante (terraza), es muy bonito, lo visite a su reapertura y tienen cuidado referente a las medidas de higiene. Cuentan con menú por código QR.
Conserva su arquitectura con gran detalle.
Ojalá dejen la explanada del Centro Histórico…",5/5
19,Rosy Jiménez,"hace un mes en
Google","Excelente y emblemático lugar. El desayuno en ""La Terraza"" muy rico y maravillosa atención.
Muchas gracias 🙂",5/5
20,gabriel barron,"hace 5 meses en
Google","Bonito hotel con mucha historia
La terraza que tiene es perfecta para ver los conciertos y eventos que se viven en el zócalo
El único detalle es que algunos eventos ya tienen reservación desde un año antes, tienes que tomar precauciones con…",5/5
21,Hector Flores,"hace 2 días en
Google",Excelente  atención y los alimentos muy buena presentación  y excelente sabor,5/5
22,Pepe Quiroz,"una semana atrás en
Google","De los hoteles más bellos del centro histórico de la Ciudad de México, envidiable ubicación y maravillosa vista al Zócalo",5/5
23,Juan Vicente Martinez,"hace 2 meses en
Google","Excelente recepción, el personal muy amable, las habitaciones muy amplias y limpias.",5/5
24,Patricia Bena,"hace un mes en
Google","Muy bonito, confortable,  limpio, el internet muy bueno, con unos detalles de parte del personal que me hicieron sentir muy valorada.  Recomendable al 100%.",5/5
25,Zulleth Baker,"hace un mes en
Google","Excelencia y comodidad buen trato
Precio de alimento un poco exagerado pero se entiende por lo que nos brinda ese hotel",5/5
26,Arianda Valle,"hace un mes en
Google","Muy buena experiencia.
Solo tienen quw asegurarse de tener limpias ls cunas para bebés, al hacer la reserva se solicitó una cuna y al llegar no la tenían lista, 30 minutos después estaba en la habitación pero un tanto sucia de tenerla guardada y con bichos.",4/5
27,Fernanda Bravo Contreras,"una semana atrás en
Google","Hermoso , conservado, limpio y acogedor, la terraza tiene bonita vista",5/5
28,Alex Soto,"hace un mes en
Google","Excelente, lugar, y servicio, la vista magnífica, y en tiempos de covid cuenta con excelentes medidas",5/5
29,El Príncipe Valiente Segovia,"hace 2 meses en
Google","Como siempre una buena opción para desayunar y comer, si es que se busca algo estándar, rápido, rico y con el clásico ambiente de la ciudad de méxico. Siempre será una buena opción",3/5
30,karla Ochoa,"hace 2 meses en
Google","Lugar hermoso!!. Terraza increíble
Sus precios costosos!. Pero nada lo puede igualar, vista panorámica del zócalo.",5/5
31,Elisa Perales,"hace 2 meses en
Google",Hermosa vista. Excelente servicio. Comida rica. El bufete muy aprovechable!!,5/5
32,Rodrigo Cortes lopez,"hace un mes en
Google","Aunque tardamos un poco en entrar por el tema de aforo 😷  .. valió la pena esperar, el desayuno está muy completo yo probé la  pancita, pero puedes pedir desde huevos al gusto, taquitos y waffles 🤭🤗... El personal muy atento volveré a regresar! 😎",5/5
33,Fibramex Servicios Personal,"hace 5 meses en
Google","Cómo siempre, excelente lugar, vista y alimentos.",5/5
34,Cesar Vargas,"hace un mes en
Google","Perfecto lugar,. En la entrada los que te reciben, son excelentes personas! Y tocar mi sax frente a el edificio siempre me es reconfortante",5/5
35,Mario Alberto Carrejo,"hace un mes en
Google","Un lugar precioso, solo algo descuidado, sus alfombras están viejas, y polvosos sus candiles, pero excelente servicio, buena comida",5/5
36,Veronica Santana,"hace 2 meses en
Google","La comida y el servicio como siempre excelente todo muy limpio y las medidas de higiene y sana distancia muy bien aplicadas .lo único detalle fue que este sábado 13 de febrero que los visitamos no se nos informó ni aplicó la promoción de 12,13y14 de febrero que salió publicada en su  facebook esperemos mejoren esos detalles",5/5
37,Jonathan Guerrero,"3 semanas atrás en
Google","El trato fue muy descortés por parte del capitán, nos discriminaron tal vez porque pensaban que no podíamos pagar, fueron sarcásticos nadie se acercó a atendernos le pedimos algo y nos ignoraron, fue una muy mala experiencia además de que nada resalta en cuanto a la comida, parrilla clásica, sopas o cremas clásicas nada inovador",1/5
38,Rocio Batalla,"hace un mes en
Google","precioso lugar, d3sayuno exquisito y la atencion de nuestro mesero Bruno sensacional. todas las medidas de higiene y distanciamiento
muy recomendable",5/5
39,María Eugenia Isicahua,"hace un mes en
Google","La comida no es lo máximo, pero el lugar es espectacular, lo que se paga es por lo que ves, la vista que tiene es excelente.",3/5
40,Lizette F,"hace 1 día en
Google","Muy rico, excelente excelente atención",5/5
41,Carlos Manuel Calva Cauich,"hace 3 meses en
Google","Su terraza está hermosa. La comida rica, la atención buena. Y el vitral del hotel hermoso.",5/5
42,Miguel Almaguer,"3 semanas atrás en
Google",La vista muy bonita. El lugar no tanto y la comida regular.,3/5
43,Illel Garcia,"hace un mes en
Google","Lo único bueno es la vista, el servicio pésimo y el lugar muy descuidado. Llegué cerca de la media noche queriendo descansar y me dan una habitación normal, cuando se había reservado una suite con vista al zócalo,  en lo que nos cambian y…",1/5
44,Alejandro Flores Godínez,"4 semanas atrás en
Google","Increíble vista del zócalo y comida muy rica a precio justo, servicio muy bueno!!!",5/5
45,Juan Valerio,"hace 2 meses en
Google","Hotel muy confortable ... los seres humanos que ahí atienden son muy amables, desayuno muy rico, lo malo es que el jugo de naranja no es Natural al 100%
Magnífica ubicación, hermoso lobby",5/5
46,Víctor H. Portillo S.,"hace 2 meses en
Google","Increíble lugar histórico de la ciudad de México, el gran hotel ofrece la oportunidad de recorrerlo, conocer el vitral más grande de la ciudad y comer en la terraza con la vista del zócalo capitalino. Preferible acudir entre semana por la tarde, la atención es excepcional y la vista es increíble.",5/5
47,Bernardo Iturbe,"hace un mes en
Google","engaños para reservar, el hotel decia q tenia q esperar 24hr y no fue cierto, ahi mismo hice reservacion con mi cel y con la reseevacion finalmente m atendieron, la comida no es la gran cosa. clasico totopos para los chilaquiles, no m gusto.",1/5
48,suatattoo,"hace 6 meses en
Google","La entrada por el hotel es preciosa art Deco. La terraza con vistas al zócalo. Y bueno.. Calidad precio más o menos. Creo k fui en mal día, no había gente y no nos atendieron como es debido.",3/5
49,Sandra Rodriguez,"hace un mes en
Google",Pesimo criterio del señor de la entrada. Baje a mi madre y la deje sentada afuera del hotel (una señora de la 3a edad) mientras yo ingresaba al estacionamiento y literal la quitó de las mesas q están en la entrada. Ante tal groseria mejor nos fuimos al café tacuba. Lo ironico el señor igual era de edad avanzada 🤦🏻‍♀️,1/5
50,jose antonio hernandez garcia,"hace un mes en
Google","Si vas a la Ciudad de México, no puedes dejar pasar la oportunidad de visitar este hotel, aun que no seas huesped, puedes entrar y disfrutar de una vista hermosa de la explanada de nuestro zocalo capitalino,  pues es una construcción de la…",4/5
51,faustino rosales,"hace 2 meses en
Google",Ese hotel es muy hermoso y lujoso solo para gente rica la noche cuesta $5800 un cuarto $1800 el más económico.,5/5
52,"Violeta, Terapias de Bienestar Integral Mejia","hace 6 meses en
Google",Un hermoso lugar lleno de historia. Su restaurante muy bonito con una vista increíble de el Zócalo y los platillos de lo mejor que he probado además de su atención profesional. Un plus es que te preparan la salsa que desees con una gran variedad de chiles a elegir. Me super encantó,5/5
53,yoya mendez,"hace 6 meses en
Google","Hermoso linda arquitectura
Exlentes perzonas",5/5
54,francisco cobarrubias,"hace 2 meses en
Google",Hermoso el lobby. Tienes que hacer una parada obligada. Por temas de covid-19 no puedes entrar a menos que vayas al restaurante o te hospedes en el hotel,4/5
55,MARTHA CORINA PADILLA BARBERI,"3 semanas atrás en
Google",Es un lugar exquisito,5/5
56,jorge angel vargas zuñiga,"3 semanas atrás en
Google",Lugar co  mucha historia y co  arquitectura increible,5/5
57,Luis Antonio Olivares Alarcón,"hace un mes en
Google",Muy buen lugar para desayunar o comer.  No es económico por qué es un lugar de lujo.,5/5
58,Alberto Espinoza,"hace 2 meses en
Google",Es un lugar muy bonito y te transporta a otra época. Y el restaurante también cumple,5/5
59,Marce Martínez Valdez,"un año atrás en
Google","Extraordinario hotel. El interior es espectacular, la decoración es bellísima y el personal es muy amable y siempre están dispuestos a ayudar. Las vistas que tiene en los restaurantes es impresionante y los precios son buenos para la…",5/5
60,Pepe Galvan Coach,"una semana atrás en
Google","La comida riquísima, la vista en la terraza del restaurante inmejorable, la atención de lo mejor.",5/5
61,Jesus Rubio,"hace un mes en
Google","Lugar que te transporta en el tiempo, en el centro de la ciudad, con vista al zócalo, cuenta con más de 50 habitaciones, y en el techo de la parte central un impresionante vitral, su terraza con vista al zócalo, y comida de muy buena calidad en general ofrecen opción de buffet.",5/5
62,Expedia reviewer,"hace 5 meses en
Expedia.mx",Precioso hotel a unos pasos del zócalo de la ciudad! Personal muy amable y la comida en la terraza espectacular!! Lo recomiendo al 100,5/5
63,mlu cg,"hace 2 meses en
Google","Me encanta la vista que tiene, para comer en su terraza es precioso y brindan buena atención",5/5
64,Eliud Gil Samaniego,"hace un mes en
Google","Me encantó,  fue una gran experiencia de verdad, bellisimo hotel",5/5
65,Edgar Sevilla Reyes,"hace 2 meses en
Google",Lindo pero tuberías muy escandalosas y el drenaje del baño comenzó a sacar agua,3/5
66,Martina Hernandez,"hace 2 meses en
Google","El servicio no fue muy rápido,se tardan demasiado en atender,la vista es lo único que vale la pena",3/5
67,Rubén González Miranda,"una semana atrás en
Google",Buen servicio,5/5
68,Alejandra Casanova,"un año atrás en
Google","¡Sin palabras! Este hotel me ha dejado un excelente sabor de boca, desde la entrada principal de puede sentir el aire de siglos pasados. La bienvenida que dan es espectacular.El personal es atento y servicial, las habitaciones son…",5/5
69,JOSUE CANA,"una semana atrás en
Google",Exelente servicio,5/5
70,Estefania Buendia,"hace 7 meses en
Google",La vista perfecta y el servicio muy bueno. El precio es elevado pero se entiende por la buena ubicación. El sabor de la comida delicioso.,5/5
71,Maribel Ivette Reyes,"un año atrás en
Google","Muy bonito y bien conservado hotel

Delicioso desayuno y maravillosa vista!
Elegantes habitaciones, un hotel ideal para los turistas y para los mexicanos es perfecto también en las fiestas patrias porque tiene una hermosa vista a la plaza central del centro histórico de la Ciudad de México.",5/5
72,Ernesto Eduardo Medina Núñez,"hace 3 meses en
Google","recomiendo el desayuno Buffett, me gusto mucho los chilaquiles con cochinita y la vista en el balcón.",5/5
73,Edgar Jaramillo,"3 semanas atrás en
Google",Buen lugar,4/5
74,Paola Michelle Nieto Cano,"hace 4 meses en
Google","Excelente atención, el motor del Sanitizante (por humo ) molesta el sonido,  por lo demás excelente estadía.",5/5
75,Sergio David Aquino,"hace 4 meses en
Google",Un hotel de tradición y con un servicio excelente y con una ubicación perfecta directa en el socalo!,5/5
76,Aleja A. S.,"hace 4 meses en
Google","Genial la atención, los alimentos bien preparados y bien servidos, además la atención del personal desde la recepción fue excelente.",5/5
77,Aby Aby,"hace 7 meses en
Google","El hotel es muy bonito, la atención de su personal es muy amable, las habitaciones son de un estilo clásico, amplias, el alfajor de cortesía delicioso. El único inconveniente es que la colcha estaba sucia. Espero que en tu visita no te pase por qué la habitación es limpia.",4/5
78,Alejandra Carrión,"hace 4 meses en
Google","Excelente servicio, la vista del Zocalo frente a la habitación muy hermosa y cumplen con todos los requisitos de bioseguridad.",5/5
79,Ma Elena Amezcua C,"hace 7 meses en
Google","Salón de fiestas excelente. Servicio de su restaurante Gran Terraza pésimo, lento alimentos fríos. 45 minutos para tomar la orden y otro tanto para llevarla.",3/5
80,RIGOBERTO AVALOS MIRAMONTES,"hace 6 meses en
Google",Lugar muy acogedor y con gran historia. Excelente para aquellos que nos gusta la comodidad y el pasado,5/5
81,Frado,"hace un mes en
Google",Hermoso lugar para disfrutar un rico desayuno,5/5
82,AC VS,"hace un mes en
Google",Excelente servicio,5/5
83,Emma Carbajal,"hace 5 meses en
Google","Buena experiencia,  puedes disfrutar de la vista del Restaurante la Terraza,  hay Bufete de desayuno, buen ambiente,  ¡recomendable!",5/5
84,Expedia reviewer,"hace 8 meses en
Expedia.mx","Muy bello lugar, silencioso por estar casi vacío el hotel. Domingo el tercer día de estancia hasta la 1pm pasaron a realizar limpieza. En general muy agradable la estancia",4/5
85,Gussy Ramírez,"hace 4 meses en
Google","Es un lugar que cuenta historia al mirar su vitral.
Los meser@s son muy amables, el desayuno y la comida deliciosa.",5/5
86,Rigo Albert Garcia Ramos,"hace un mes en
Google",Excelente restaurante,5/5
87,Sergio Gómez,"hace 7 meses en
Google",Excelente servicio y la comida deliciosa en la terraza.,5/5
88,Larysa Sandra,"hace 4 meses en
Google",Un sitio maravilloso!,5/5
89,ANA GÓMEZ TAGLE,"un año atrás en
Google","Muy rica la comida, el lugar es agradable, el servicio muy bueno, el hecho de que hagan la salsa para acompañar tu corte al momento y con los ingredientes que tú elijas me parece muy buen detalle.
Además la vista del zócalo de la CDMX es imperdible.
Lo recomiendo ampliamente.",5/5
90,Fernando Daniel García Bertiz,"un año atrás en
Google",Excelente lugar.. el desayuno muy rico y en la terraza excelente vista.. el estacionamiento es ajeno al hotel son 190 por día hospedado.. la atención es de primera y el lobbyde lujo,5/5
91,Fotógrafo Sergio Abrahám García Corona,"hace 4 meses en
Google","Es excelente el Gran Hotel de la Ciudad de México 🇲🇽 altamente recomendable para Eventos Sociales de 1er Nivel
👌🏼👌🏼👌🏼👌🏼👌🏼👌🏼",5/5
92,Jesus Valle,"un año atrás en
Google","El Gran Hotel en la Ciudad de México está increíble.  Muy buen servicio, la comida es auténtica mexicana y deliciosa.  Excelente vista al Zócalo y muy cerca del palacio de bellas artes, torre latino americana y reforma.",5/5
93,fernanda godinez,"hace 4 meses en
Google","Casi todo bien pero estaba esperando a unas amigas y no se acercaban los meseros para ver si quería algo hasta que llegaron ellas, pero tienen una excelente comida y buenos precios. Sí volveré a ir",4/5
94,JADE DIAZ,"hace 5 meses en
Google","Maravillosa vista, deliciosos platillos y excelente servicio!.",5/5
95,Salvador Perez Martinez,"un año atrás en
Google","Simplemente WOW!!! LA MEJOR EXPERIENCIA, lo más cercana ya revivir todo un siglo de historia, las habitaciones impecables y todos el personal que labora ahí te atiende como debe de ser en todos los hoteles, vestidos impecablemente y con una amabilidad única. No deben de perderse el poder hospedarse aunque sea una sola noche",5/5
96,Héctor Ibarra,"hace 2 meses en
Google",Buena comida y hermosa vista del zócalo.,5/5
97,Expedia reviewer,"hace 6 meses en
Expedia.mx","Pocos hoteles en el mundo tiene riqueza lo siguiente:-Historia-Ubicacion-Arquitectura-Lujo-Atencion al cliente-Vista memorable a la ciudadEl Gran Hotel de la Ciudad de Mexico, lo tiene todo!",5/5
98,Rubi Huerta,"hace 5 meses en
Google","Excelente hotel en el corazón de la CDMX su vitral esta hermoso, te hace sentir como en otra época.Con todas las medidas sanitarias por el COVID-19.",5/5
99,Contacto Mi Pensión IMSS,"hace 6 meses en
Google","excelente cocina.  Buena atención.  La vista, genial",5/5
100,Takeshi 2.0,"hace 5 meses en
Google",Tienes que conocerlo alguna vez es muy bonito CDMX ♥️,4/5
101,Jeissy Garcia,"un año atrás en
Google","Es una joya en la Ciudad de Mejico, decoración art deco el techo en vitral es espectacular, en la terraza hay una Restaurant donde se aprecia la vista de Socalo",4/5
102,Livingstonne Montañez Torres,"un año atrás en
Google","Un hotel lleno de magia tanto dentro como en sus balcones y restaurantes, es algo elevado de precios pero para una estancia especial vale la pena 1000 veces.",5/5
103,alfonso gonzalez ortiz,"hace 4 meses en
Google","Excelente lugar, espectacular vista, gran atención y servicio",5/5
104,Jorge Néstor Rodriguez,"hace 5 meses en
Google","Sus instalaciones son excelentes!
La ubicación es estratégica para conocer el centro de la ciudad de México.
Sus habitaciones son de lujo!",5/5
105,Shanik Guillen,"hace un mes en
Google",Me gusta su fachada por dentro,4/5
106,jose manuel molinet sosa,"hace 5 meses en
Google","Lo considero muy descuidado poco movimiento quiero pensar que es por la pandemia, el restaurante, poca variedad de alimentos, únicamente había parrillada (bien), pero las he comido mejores y a menos costo",3/5
107,Eduardo Hernandez,"hace 5 meses en
Google","Solamente diré que es un lugar espectacular, con una vista maravillosa, el concepto de servicio es excelente",5/5
108,scargot P,"2 años atrás en
Google",El lobby fue la sala de reception impresionante,5/5
109,Escapadita por México,"un año atrás en
Google","excelente lugar para poder descansar, cuentan con restaurante en la parte de arriba, con un sabor increíble,  hay cerca lugares turísticos, bares y mas restaurantes, ademas de comercio informal.",4/5
110,Anny Rey,"hace 2 meses en
Google",Muy agradable,4/5
111,chacho uechi,"3 años atrás en
Google","Excelente altamente recomendable el menú de medio día en sus tres opciones sin equivocaciones a escoger muy buenas, ensalada bar de muy buena variedad y calidad, de visitarlo por primera vez querrá volver pronto.
Costo performance 5 estrellas.",5/5
112,Lalín Carmona,"hace 7 meses en
Google","Muy bonito el hotel, gran historia pero costos muy elevados para la calidad de los alimentos y su sabor. Busquen otra alternativa",1/5
113,Lupita De La Higuera,"4 semanas atrás en
Google",La vista es muy bonita,5/5
114,Annie Gp,"hace 5 meses en
Google","Recomiendo acudir con paciencia a las citas con Gabriela Monroy (Banquetes), ya que te deja esperando en recepción más de una hora. Mi cita era a las 11 h, son las 12 h y aun no me recibe.",1/5
115,paulina portillo,"2 años atrás en
Google","Este es simplemente fantástico ¡¡ es como un sueño  en verdad desde la entrada con ese candelabro y el techo es una belleza con ese vitral. El hotel es grande y te hace revivir otra época,  los salones donde se realizan las fiestas muy lindos . Si no lo conoces tienes que visitarlo.  Vale muchísimo la pena .",5/5
116,Gerardo Ali S.Mansilla,"2 años atrás en
Google","un lugar con mucho Glamour...camas muy confortables, personal, amable y experto en hacer sentir comodo al huésped pero lo único malo es q el.restaurante Terraza nunc a tiene disponibles las mesas con vista al Zócalo deben de reservar…",5/5
117,Angel Lopez,"2 años atrás en
Google",Excelente lugar en el Centro Histórico de la Ciudad de México para hacer un desayuni-almuerzo con comida Mexicana de gran calidad y muy buen servicio. Quizá caro por la poca variedad en el buffet. Pero la vista desde la terraza del…,4/5
118,Juan Martínez,"2 años atrás en
Google",Un hotel muy lindo para hospedarse. Su arquitectura es muy bonita y agradable. El techo es una obra de arte,5/5
119,Expedia reviewer,"hace 3 meses en
Expedia.mx","Todo estuvo muy bien, en tiempos de pandemia solo agregaría platos y opciones al menú.",5/5
120,africa karina carral mcdonald,"hace 6 meses en
Google","El mejor lugar para eventos. Limpio, atención de primera. Todo super sanitizado",3/5
121,Sergio Bazualdo,"hace 7 meses en
Google","Hermoso atención seguridad , elegancia belleza comodidad , distinción que más se puede pedir limpieza muy bien .",5/5
122,Yesika Villanueva,"hace 7 meses en
Google","Un hotel super lindo con excelente servicio de restaurante en la terraza, recomendadisimo",5/5
123,Teodoro Perez Garcia,"un año atrás en
Google","Increíble Hotel con una historia fascinante, una vista inigualable y sus instalaciones incfeibles",5/5
124,Esther Clavel,"un año atrás en
Google","Excelente atención por parte de los empleados, todos muy amables, el cuarto muy limpio, los detalles de bienvenida muy agradables y muy buena vista del zócalo desde la habitación.",5/5
125,Marco Antonio Fares Soto,"hace 6 meses en
Google","El segundo edificio más bonito de Cdmx después de bellas artes. Lo atractivo es que es un museo. Gran servicio; desde que llegas te reciben con una copa de vino espumoso, el personal es atento y sus uniformes impecables y limpios. La vista…",5/5
126,Mario Poot,"hace 6 meses en
Google","Habitación excelente, personal único y ubicación perfecta.",5/5
127,Reyna Domínguez,"hace 9 meses en
Google",Un lugar de hermosa arquitectura y excelente servicio,5/5
128,Pepillo Salher,"hace 8 meses en
Google","Hermoso lugar, con gran historia, arquitectura de encantó, su terraza con una excelente vista a la plancha del zócalo es encomparable e inigualable por q la condimenta perfectamente su gastronomía ese buffet es delicioso....",5/5
129,Melissa Flores,"hace 4 meses en
Google",Una atención de Primera y toda una experiencia para realizarla una vez en la vida,5/5
130,Carlos Cortez,"un año atrás en
Google","El lugar es agradable y con una maravillosa vista al Zócalo.
La comida variada con buen sabor y sazón.
La atención del personal excelente.
Un lugar obligado para aquellos que visiten la CDMX.",5/5
131,Ma Raquel Rocha Rocha,"hace 5 meses en
Google",Muy agradable lugar te tratan como te mereces,5/5
132,Arturo Ovalle,"un año atrás en
Google",Excelente comida y atención. El Rib Eye de lo mejor que he comido.,5/5
133,Vekka Velarde,"2 años atrás en
Google",La terraza el restaurante de este hotel es una maravilla ! Marcelo y Ventura nos atendieron muy bien la comida muy sabrosa . El hotel es una magnifica belleza #amoMexico,5/5
134,Alejandro Fitz,"un año atrás en
Google",Un lugar hermoso. Está ubicado justo a un lado de la plancha del Zócalo. El lugar es sumamente bonito y elegante. Yo acudí a un desayuno. Me parece que los salones son muy bonitos y amplios. La atención del personal muy buena. Aunque en el…,4/5
135,CAMS Vlogs,"2 años atrás en
Google","Uno de los mejores hoteles que he visitado en toda mi vida, es una excelente opción para descansar un fin de semana nosotros que vivimos en la CDMX, porque no darnos un gusto en tan maravilloso hotel, si quieres dar un regalo que sea…",5/5
136,cristel salcedo,"2 años atrás en
Google","Es un lugar muy agradable, la vista al Palacio Nacional y catedral es buena, sin embargo la comida no es nada espectacular para mi gusto es relación precio/calidad es muy caro para el tipo de comida que sirven, deja mucho que desear !!!
Hotel es muy bonito 😊",3/5
137,Carmina Bretón,"2 años atrás en
Google",La terraza del Hotel tiene un muy buen restaurante con vista del zócalo capitalino espectacular. La comida muy buena el chef magnifica persona.,5/5
138,Eduardo Roel Romero,"hace un mes en
Google",Se desayuna muy sabroso,5/5
139,Xavi Cross,"hace 7 meses en
Google",Increible lugar. Solo que el desyuno rico pero la porcion de carne es muy poca. De lo demas increíble,5/5
140,Daniel Ramírez,"2 años atrás en
Google","Un muy buen lugar, y muy agradable para todo aquel que lo visita.",5/5
141,Veronica Jauregui,"un año atrás en
Google",Padre el hotel.....te transportas a la época y súper cerca de todo  .....me encantó 😘,5/5
142,Dave Reyes,"3 años atrás en
Google","Hotel histórico ubicado en la mejor parte de la ciudad y mi favorita, cerca del zócalo la comida de lo mejor y  todo el personal muy atento.",5/5
143,Jose Alberto,"hace 5 meses en
Google","Mataron él Ambiente en el hotel ya no Es mas que un panteon con silencio sepulcral, el pianista ya no está, mucho control higiénico",4/5
144,Jonathan Lopez,"2 años atrás en
Google","Es un lugar emblemático de la ciudad, su arquitectura y belleza de sus vitrales lo hace único

Aún funcionan los elevadores antiguos aunque pertenecen como decoración

En el cuarto piso está el restaurante ""la terraza"" con vista al zócalo de la ciudad, la comida es excepcionalmente deliciosa",5/5
145,Francisco Paredes,"2 años atrás en
Google","Simplemente espectacular. Aquí podrás ver en dónde se filmó Spectre, e incluso en la versión de Licence to kill 1989. Recomiendo el balcón para cenar con vista a la plaza. Imperdible si estás en ciudad de México. Ojo: Los elevadores sólo pueden utilizarlos los huéspedes. Pero si justo sale uno aprovechas de colarte. Jajaja",5/5
146,victor david,"una semana atrás en
Google",Excelente,5/5
147,Laura Bravo,"un año atrás en
Google",Hermoso lugar y más por qué lo compartí con el amor de mi vida mi madre,5/5
148,Horlando Pacheco,"hace 3 meses en
Google",Por q es muy antiguo,4/5
149,dragoncryl,"hace 6 días en
Google",Comodo,5/5
150,Jorge Lopez,"hace 6 meses en
Google",Muy buen lugar,5/5
151,moii b,"3 años atrás en
Google","La atención es sin igual y el hotel tienen instalaciones de lujo y maravillosas vistas, sin duda una joya arquitectónica en el centro histórico de la CDMX. Todo el personal es muy atento.",5/5
152,Lorenzo Bysshe Shelley Larenas,"un año atrás en
Google",Me quedé aquí cuando era niño y recuerdo que me pareció un lugar mágico. De adolescente fui a desayunar a su terraza y también me gustó mucho. No sé qué pensaría del lugar ahora pero por los buenos recuerdos les doy cinco estrellas.,5/5
153,Vicente Granados Rojas,"hace 6 meses en
Google",Muy buen servicio,5/5
154,Raúl Magaña Kú,"un año atrás en
Google","Un hotel muy lujoso con historia, se han grabado de peliculas, buenos restaurantes mexicanos y atención excelente. Con un techo de vitral.",5/5
155,Edmond Malouf,"un año atrás en
Google","El hotel es muy bonito, un icono del centro histórico, muy bien conservado con un impresionante domo de vitrales. Las recámaras son bonitas y cuenta con un restante terraza con vista panorámica sobre el Zócalo.

Sin embargo fallo con lo…",4/5
156,Antonio Valencia,"2 años atrás en
Google","El lugar es increíble, una visión principal es el vitral estilo Tiffani. Fundado por don Porfirio Díaz a finales de 1899, y remodelado hasta 1968 para los juegos olímpicos.

El acceso es libre y siempre habrá personal para asistirte, caminar por la av. 16 de septiembre obliga que pases a este emblemático lugar.",5/5
157,Pilar Hernandez,"2 semanas atrás en
Google",Excelente,5/5
158,K. Leonardo Rodriguez Arroyo,"hace 8 meses en
Google",Pus yo nunca eh ido por qué soy de cdmx XD pero lo recomiendo por qué está bonito 😁✌️,5/5
